id,ticker,price,volatility,drift
87,GSEFF,58.900002,0.016946,8.1e-05
88,SAM,358.230011,0.017328,0.00034
89,NSIT,101.190002,0.025704,0.000612
90,ONTX,0.7399,0.054909,-0.00087
91,TACT,6.4103,0.032369,0.000531
92,FCAP,24.940001,0.017688,0.00024
93,KMB,135.699997,0.022459,0.00035
94,LFUS,233.800003,0.018783,0.000409
95,SNPS,333.605011,0.028605,0.000533
96,SCD,12.3197,0.011561,1.6e-05
97,JKHY,182.470001,0.040871,0.00101
98,RANJY,29.41,0.015788,0.00015
99,NBIX,119.139999,0.030281,0.00063
100,OIS,6.495,0.024474,0.00031
101,DCO,49.509998,0.020566,0.000326
102,GNCNF,0.1,0.064476,0.00145
103,NERV,3.14,0.048058,0.000514
104,KSS,26.690001,0.018308,0.000345
105,VOYA,62.110001,0.017763,0.000279
106,ASC,15.23,0.023079,0.000292
107,NXC,13.3778,0.008192,2.6e-05
108,ALSMY,2.45,0.018124,1.2e-05
109,PPG,130.880005,0.027743,0.000455
110,SPPI,0.4499,0.043113,0.000494
111,STRL,31.6742,0.038266,0.000894
112,TDS,10.65,0.016321,0.000238
113,RENT,2.77,0.052862,-0.002336
114,JYNT,14.6796,0.0306,0.000664
115,CMG,1540.0,0.032306,0.00073
116,CUTR,50.255001,0.024449,0.00043
117,BRFH,1.36,0.058702,0.001288
118,USPH,88.269997,0.022968,0.000498
119,YUM,128.320007,0.026989,0.000448
120,KR,46.220001,0.024143,0.000371
121,FPRUF,44.685001,0.016354,3.7e-05
122,DKILF,158.160004,0.015457,0.000435
123,NPO,110.220001,0.018484,0.000419
124,WIA,9.15,0.005647,-3.6e-05
125,MLAB,175.337799,0.029498,0.000655
126,AKBTY,1.79,0.032009,0.000342
127,ASR,246.0,0.015908,0.000375
128,GBNK,20.75,0.028704,0.000332
129,GBDC,13.175,0.010253,4.1e-05
130,SLP,39.0,0.042481,0.00116
131,MSI,267.075012,0.02854,0.000465
132,A,155.399994,0.021153,0.000291
133,FELE,80.5,0.021061,0.000429
134,IUTSF,23.08,0.012224,0.000178
135,RELV,3.9,0.06815,0.002821
136,AGRUF,14.41,0.015688,0.000194
137,GRSFF,0.07,0.032941,0.000489
138,NCMI,0.3845,0.026245,-0.000181
139,RH,252.365005,0.024646,0.000709
140,PEI,2.66,0.019917,7.7e-05
141,CHS,5.562,0.029658,0.000605
142,SGHIY,15.35,0.01098,-7.6e-05
143,HLRTF,0.0852,0.062801,0.002104
144,WELPP,68.699997,0.013083,0.000112
145,SMRT,2.62,0.036166,-0.001732
146,HAWK,0.02,0.0962,0.00424
147,CDTI,0.3,0.074232,0.002033
148,PZZA,84.199997,0.017951,0.000413
149,LMNR,12.54,0.022205,0.000327
150,KNX,55.084999,0.018851,0.00042
151,LC,9.51,0.029193,-0.000211
152,DSDVY,75.940002,0.015486,0.00039
153,LNDZF,0.43,0.035124,0.000392
154,HALL,0.5397,0.042205,0.000737
155,MHLD,2.09,0.03188,0.000402
156,MPWR,387.190002,0.020841,0.00063
157,SPIL,8.59,0.021264,0.000271
158,BURL,193.009995,0.017912,0.000619
159,TFIV,23.645,0.006216,-1.8e-05
160,TKGSF,17.17,0.033372,0.000482
161,UHT,51.599998,0.013761,0.000182
162,SNMCY,7.98,0.01655,0.000129
163,DANOY,10.4201,0.012373,0.000158
164,NWYF,20.75,0.016331,0.000165
165,FSD,11.39,0.00835,-1.1e-05
166,SIGI,89.830002,0.028967,0.000541
167,WEB,27.99,0.024133,0.000449
168,KFY,52.049999,0.020243,0.000314
169,RSPP,47.830002,0.021064,0.000596
170,BRDCY,18.41,0.013772,0.000209
171,PG,151.682495,0.024529,0.000357
172,PDCE,62.419998,0.039412,0.001062
173,IBN,22.594999,0.025742,0.000427
174,OSGSF,16.34,0.025272,0.0006
175,NTRS,88.370003,0.031098,0.000566
176,TKOMY,20.440001,0.019127,0.000319
177,ROYL,0.07,0.063081,0.001726
178,ESRT,6.765,0.014012,-4.4e-05
179,WLKR,0.4987,0.053227,0.000851
180,DXM,7874.560059,0.016289,-0.000215
181,HIVE,1.953,0.061249,0.001885
182,RIBT,1.05,0.080917,0.00285
183,CVLT,64.940002,0.018881,0.00035
184,MSCC,68.739998,0.0309,0.00076
185,PNRG,78.199997,0.032345,0.000632
186,IR,53.41,0.021755,0.000346
187,HRZN,12.915,0.014734,9.1e-05
188,PLPC,91.339897,0.022596,0.000391
189,DSM,5.84,0.008663,5e-06
190,FF,8.39,0.01974,0.000165
191,OMI,20.905001,0.01898,0.000368
192,CLRB,1.78,0.067895,0.000508
193,NFJ,11.53,0.010693,-3e-05
194,HIG,74.669998,0.022168,0.000329
195,PSMT,65.5,0.019908,0.000302
196,GPTGF,2.86,0.027966,0.000687
197,GMAN,77.924202,0.012799,0.000654
198,UNB,24.0,0.018437,0.00022
199,GNRC,94.860001,0.025719,0.000484
200,MERC,12.16,0.027353,0.000409
201,ATONF,0.045,0.027328,5.9e-05
202,BBD,2.59,0.020659,0.000304
203,IDE,9.79,0.010063,-6e-05
204,IVAC,6.11,0.033917,0.000577
205,RGLD,107.559998,0.137415,0.009635
206,CCOHF,1.0,0.025986,0.000481
207,AEE,89.440002,0.009852,0.000107
208,FPAFY,1.56,0.047663,0.001025
209,CALD,36.0,0.024328,0.0004
210,SAFRY,30.799999,0.01578,0.000395
211,HMST,27.5,0.015478,0.000276
212,NFG,64.339996,0.010728,0.000185
213,AMNB,37.330002,0.017303,0.000232
214,FIF,14.75,0.012342,4.9e-05
215,FEO,9.64,0.009245,3.4e-05
216,MAKSY,2.99,0.018951,-9.6e-05
217,BANGN,98.25,0.022809,0.00018
218,ARTNA,55.41,0.01547,0.000288
219,TCX,33.055,0.043082,0.000887
220,JE,0.0259,0.066923,0.001309
221,AGNC,9.915,0.012892,-9e-06
222,WWD,93.864998,0.018424,0.000395
223,NDP,29.24,0.016396,-0.000233
224,CTBK,0.01021,0.14383,0.009612
225,FRO,14.205,0.026932,0.000208
226,GNCA,0.015,0.055614,-0.000469
227,TRNO,56.990002,0.010779,0.00023
228,EFGSY,20.5,0.01503,0.000223
229,CORI,12.68,0.032896,0.000723
230,CASY,246.309998,0.01613,0.000398
231,STWD,20.0137,0.012591,9.7e-05
232,ABTZY,9.73,0.016332,4.2e-05
233,IFF,107.065002,0.019425,0.000229
234,SYBT,72.544998,0.015325,0.000372
235,EMO,28.209999,0.019407,-3.2e-05
236,EBAY,43.369999,0.036148,0.000758
237,QUCCF,14.51,0.011533,0.00015
238,BITRF,0.01945,0.075698,0.002478
239,CPSI,27.68,0.018989,0.000225
240,CIVI,57.362999,0.039283,0.000156
241,AIN,102.580002,0.01578,0.000233
242,IVZ,18.555,0.020997,0.000257
243,BAH,105.080002,0.013661,0.000371
244,SEOAY,14.99,0.016974,0.000186
245,PTC,123.68,0.024773,0.000562
246,CHDN,220.190002,0.019742,0.0004
247,MIELY,19.865,0.018745,0.000215
248,AUTR,0.03,0.075304,0.002608
249,GCHOY,8.25,0.029313,0.00031
250,NCA,8.695,0.008655,3.1e-05
251,FN,131.789993,0.020697,0.000611
252,BBLU,10.865,0.00939,0.001044
253,SNCR,0.69,0.030122,0.000144
254,NBGGY,0.27625,0.036064,-0.000422
255,MLLUY,4.44,0.01562,0.000185
256,SIOLF,0.14,0.021153,-4.9e-05
257,PFSI,58.330002,0.016791,0.000381
258,TNK,33.212799,0.026388,0.000142
259,THFF,46.419998,0.019209,0.000242
260,SVJTY,21.9,0.020673,0.000404
261,SBLK,19.66,0.031127,-4.7e-05
262,SBNY,120.794998,0.021655,0.000334
263,QCOM,119.379997,0.022047,0.00059
264,ANIP,40.23,0.04011,0.000658
265,URI,356.339996,0.033068,0.000632
266,HACBY,35.139999,0.016216,5.5e-05
267,FCF,14.34,0.016521,0.000195
268,AGD,9.41,0.013705,-8.2e-05
269,ENSG,92.379997,0.018544,0.000586
270,UNH,542.340027,0.047332,0.001351
271,DCNSF,16.709999,0.015045,0.00015
272,IDLLF,32.009998,0.011281,-9.7e-05
273,GBLI,24.620001,0.020046,0.000167
274,SYNA,100.529999,0.024435,0.000531
275,GNE,10.315,0.023171,0.000311
276,BKHYY,46.41,0.019208,0.000283
277,TBPH,10.895,0.026026,0.000269
278,NRCIB,53.0103,0.030758,0.0007
279,CO,2.9876,0.024371,0.000219
280,CTAS,455.765015,0.035568,0.000802
281,HCMLY,10.3,0.013378,2.7e-05
282,KEYS,181.119995,0.024881,0.000537
283,TSM,79.584999,0.019468,0.000398
284,WLMIF,3.0,0.013521,2.4e-05
285,GEL,9.7533,0.02365,0.000223
286,TW,65.57,0.019708,0.00031
287,SPH,16.174999,0.012241,5.7e-05
288,WRTBF,8.52,0.016263,2e-06
289,CPCAY,5.33,0.021129,0.000197
290,NSANY,6.76,0.016913,0.000166
291,FTI,11.35,0.019946,0.000294
292,BTU,27.76,0.040511,0.000793
293,BWFG,28.74,0.014959,0.000194
294,PRPH,10.225,0.062945,0.002286
295,TTEC,46.73,0.024098,0.00037
296,AUBN,22.6511,0.020841,0.000306
297,UBA,18.23,0.015058,0.000172
298,BXMT,23.934999,0.028142,0.000278
299,WERN,43.299999,0.017577,0.000302
300,AXP,157.259995,0.024453,0.000348
301,CTXAY,37.075001,0.013517,4.5e-05
302,CRD-B,5.45,0.023963,0.000302
303,NCCGF,3.07,0.022028,0.000214
304,BBRG,4.05,0.022014,-9.1e-05
305,GER,12.75,0.019374,-0.000453
306,IPGP,94.415001,0.022523,0.000336
307,NEE-PP,51.169998,0.012473,0.000112
308,HWBK,22.799999,0.02087,0.000285
309,CPWHF,4.65,0.037984,0.000491
310,ANCB,25.77,0.017182,0.000375
311,EPR-PC,19.07,0.01647,0.000105
312,BKQNY,10.12,0.02064,0.000132
313,SPSC,136.820007,0.017141,0.000614
314,ARAH,0.012,0.215894,0.020446
315,FNRG,3.11,0.030735,-0.003696
316,AAL,13.9,0.0307,0.000455
317,CNO,22.26,0.030877,0.000483
318,SWN,6.165,0.022189,0.000356
319,BMRA,3.85,0.068802,0.002358
320,OVLY,20.49,0.02651,0.000468
321,XYL,111.231003,0.012118,0.00035
322,CAMT,22.950001,0.03555,0.000744
323,CS,3.345,0.021867,0.000195
324,ADERY,60.549999,0.01418,-3.7e-05
325,LGFRY,33.509998,0.021896,0.000407
326,TSI,4.716,0.012349,3.6e-05
327,HURC,25.67,0.032952,0.000576
328,SMIT,0.7922,0.038631,0.000585
329,ARIS,15.16,0.029337,0.000353
330,DWAHF,19.98,0.011666,0.000165
331,CSWC,18.290001,0.016179,0.000325
332,NLSN,27.98,0.015058,0.000134
333,BDRBF,39.82,0.032409,0.000446
334,GSBC,61.240002,0.018654,0.00044
335,P,8.38,0.028295,0.000173
336,DAVE,0.3497,0.052285,-0.002673
337,IRS,4.7,0.021699,0.000122
338,ESS,215.75,0.020564,0.000268
339,FORTY,75.610001,0.023545,0.000339
340,ELTK,4.22,0.054244,0.001327
341,HTHIY,103.019997,0.014375,0.000175
342,ARHVF,0.305,0.047222,0.000597
343,TTEK,152.520004,0.021499,0.00053
344,PCYG,5.04,0.118928,0.006867
345,VPV,10.0818,0.007279,2e-06
346,CMWAY,71.230003,0.01433,0.000153
347,SRCE,54.119999,0.018415,0.000362
348,PFIN,5.15,0.038668,0.000737
349,VR,18.799999,0.01571,-0.000681
350,CRWS,5.8,0.030068,0.000677
351,TGTX,8.0,0.088101,0.00337
352,SRC,41.200001,0.014416,0.000134
353,TMUS,142.169998,0.019434,0.000321
354,FLO,28.98,0.014282,0.000402
355,STM,38.450001,0.025049,0.000397
356,BCPC,131.360001,0.023024,0.000608
357,AGI,9.755,0.02784,0.000662
358,AVB,169.286407,0.019242,0.000234
359,IGGHY,9.9,0.018662,0.000163
360,MMTOF,4.29,0.032109,0.000697
361,PGZ,11.16,0.010317,-6.9e-05
362,HOT,77.050003,0.012497,2.2e-05
363,MPW,11.605,0.016529,0.000145
364,BJZ,14.46,0.00393,-5e-05
365,BME,44.250999,0.011039,0.000125
366,TTP,26.66,0.015123,-0.000122
367,CVE,17.875,0.021208,0.000199
368,HE,41.209999,0.009718,0.000129
369,LPCN,0.4199,0.048092,0.00047
370,SKYW,18.290001,0.026035,0.000476
371,BORT,28.0,0.013857,9.3e-05
372,HSY,236.449905,0.030218,0.000596
373,TX,30.045,0.021666,0.000266
374,GLBS,1.08,0.060529,0.000246
375,WBA,40.709999,0.033138,0.000636
376,SLLDY,5.395,0.01925,0.000167
377,PPSI,2.83,0.044935,0.000863
378,ANET,128.149994,0.031094,0.000743
379,REGI,61.5,0.025522,0.000671
380,RNWK,0.722,0.034857,0.000347
381,ATRO,10.295,0.038532,0.000897
382,ABG,180.490005,0.023578,0.000513
383,NI,27.584999,0.014181,0.00014
384,NOAH,16.004999,0.02621,0.000354
385,SGF,13.59,0.010271,0.000349
386,GKNLY,5.615,0.035518,0.000653
387,WIRE,141.559998,0.023144,0.000527
388,MAIN,37.029999,0.014971,0.000231
389,FCT,9.76,0.010777,2e-05
390,EBTC,34.540001,0.020716,0.000284
391,INDB,88.540001,0.032187,0.000606
392,AMH,32.25,0.010295,0.000207
393,PINC,33.330002,0.012559,8.7e-05
394,AMTD,1.7107,0.074487,0.002082
395,VULC,0.2001,0.031064,0.000326
396,IPXL,18.299999,0.035085,0.000679
397,TILE,10.69,0.026065,0.000386
398,HAS,59.389999,0.039831,0.000897
399,NNY,8.42,0.007951,2.5e-05
400,BSET,17.5401,0.022545,0.000299
401,ANTH,0.019,0.09979,0.003244
402,AWF,9.95,0.010339,2.6e-05
403,BIND,1.32,0.013834,0.000157
404,T,19.195,0.014682,0.000135
405,GD,247.600006,0.033177,0.000628
406,CSQ,13.9225,0.012316,6.8e-05
407,FISV,101.800003,0.039818,0.000906
408,MACK,11.715,0.035923,0.000379
409,ALGT,73.769997,0.020697,0.000354
410,ASYS,8.745,0.05127,0.001307
411,ASRV,4.0175,0.025197,0.000272
412,PRAY,22.308001,0.009517,-0.000229
413,MAV,8.3073,0.007882,-3e-05
414,MGPI,117.730003,0.027314,0.000561
415,KGFHY,5.74,0.019477,0.000127
416,BSPM,0.03,0.130565,0.007429
417,DVA,75.165001,0.026435,0.000462
418,RIGL,0.929,0.039303,0.000389
419,FQVLF,22.700001,0.031277,0.000707
420,JBAXY,11.4299,0.014547,0.00018
421,TYL,328.790009,0.036698,0.000802
422,PHOJY,22.089899,0.023057,0.00054
423,SPR,28.817699,0.021558,0.000233
424,SUGBY,29.9,0.01959,0.000125
425,BBGI,0.94,0.038162,0.000487
426,GLBZ,9.25,0.023388,0.000301
427,PNR,45.209999,0.022739,0.000334
428,DHI,84.974998,0.03418,0.00067
429,NVRO,40.689999,0.026062,0.000475
430,FFA,16.190001,0.014151,8.9e-05
431,ALCO,27.25,0.019199,0.000265
432,OVCHF,8.36,0.010858,8.5e-05
433,IRWD,12.155,0.020994,0.000245
434,SAH,51.84,0.02545,0.000497
435,GAILF,11.07,0.023153,9.5e-05
436,BPOP,66.599998,0.02436,0.000376
437,MIMTF,14.5,0.062791,0.001853
438,SHOO,33.080002,0.027051,0.000634
439,EBKDY,15.025,0.019542,0.00015
440,ERIE,268.089996,0.016726,0.000346
441,HYUHF,27.24,0.006719,2.9e-05
442,NS,14.6,0.015631,6.4e-05
443,ACCYY,5.28,0.019987,9.2e-05
444,EFGXY,7.33,0.016286,2.7e-05
445,COST,482.87439,0.027172,0.000438
446,CNRAF,1.27,0.016687,6.9e-05
447,BSTG,6.9,0.068321,0.001952
448,ENPH,320.450012,0.037918,0.001416
449,MTN,259.100006,0.017148,0.000331
450,CMGGF,1.32,0.01753,7.6e-05
451,CNSL,4.315,0.018651,4.8e-05
452,BCBHF,0.55,0.059525,0.001679
453,ORMP,8.3375,0.047943,0.001148
454,ADI,169.089996,0.037003,0.000773
455,RDNT,19.575001,0.041741,0.001122
456,OKE,64.779999,0.02083,0.000287
457,CMP,43.365002,0.01607,0.000255
458,CFG,40.044998,0.018442,0.00022
459,CUPUF,13.9985,0.0099,0.000152
460,BBSI,93.519997,0.029328,0.000674
461,MFM,5.245,0.009962,1.3e-05
462,CNC,86.660004,0.019127,0.000589
463,PATK,57.060902,0.037701,0.000983
464,CTC,0.156,0.019814,-3e-06
465,AIQ,21.004999,0.012513,0.000223
466,GSIG,46.012299,0.001342,-6.7e-05
467,LEDS,2.26,0.050806,0.000519
468,MRNS,4.205,0.047365,0.00064
469,MUC,10.915,0.008137,8e-06
470,PEP,182.759995,0.023656,0.000373
471,S,15.955,0.037744,-0.000732
472,HPIL,0.01075,0.099747,0.004423
473,ESNT,37.970001,0.018487,0.00029
474,RMD,220.335007,0.01926,0.000595
475,MTRN,83.760002,0.018751,0.000289
476,OMAB,65.459999,0.017872,0.000295
477,TATT,5.9,0.045179,0.000968
478,EEA,8.02,0.015511,0.000109
479,UNCFF,13.3421,0.0265,-1e-05
480,OSCUF,14.17,0.062158,0.001227
481,SXI,102.150002,0.024529,0.000389
482,KYSEF,6.71,0.00792,-7.5e-05
483,NRTHF,0.0387,0.09392,0.002343
484,CCS,51.130001,0.020996,0.000407
485,PATI,7.9213,0.022749,5.2e-05
486,HYB,6.9192,0.014406,-9e-06
487,NNBR,1.71,0.029687,0.000343
488,WU,13.995,0.014604,8.7e-05
489,WHLR,1.645,0.033082,-0.000127
490,CNS,66.934998,0.017716,0.000335
491,MGU,23.67,0.012046,6.6e-05
492,GPRE,29.99,0.033095,0.000465
493,AEO,15.645,0.025113,0.000519
494,GNGBY,23.209999,0.016107,8.3e-05
495,SOHVF,20.48,0.013035,1.2e-05
496,WHR,144.225006,0.019077,0.000231
497,SNFCA,6.2792,0.040967,0.000919
498,STT,79.364998,0.038748,0.000852
499,STX,53.73,0.024142,0.000342
500,AMP,322.5,0.026104,0.000423
501,KNDI,2.28,0.043899,0.000894
502,PLUS,45.6651,0.025177,0.000542
503,AAC,10.07,0.002627,1.7e-05
504,MMC,171.289993,0.026363,0.000411
505,ORAN,9.76,0.01819,0.000116
506,ADM,92.160004,0.023936,0.000381
507,IVR,12.89,0.020626,-0.000188
508,GOLD,16.525,0.018963,0.000353
509,PAYC,330.105011,0.020801,0.000884
510,PWOD,26.58,0.014911,0.000204
511,RRGB,7.19,0.024864,0.000257
512,IVTJF,4.59,0.01943,0.000127
513,CDEVY,5.94,0.024285,0.000266
514,NEE,85.800003,0.022307,0.000303
515,SSB,80.290001,0.016787,0.000287
516,GCLMF,0.08,0.049456,0.000799
517,HCKT,20.775,0.029445,0.000457
518,SODA,143.679993,0.024,0.000718
519,C-PK,25.07,0.004977,1.4e-05
520,POR,48.609001,0.011047,0.000103
521,GE,81.824997,0.01821,0.000198
522,BLDP,5.6615,0.033182,0.000581
523,FARM,5.0985,0.020054,0.000258
524,WNGRF,129.937897,0.009577,0.000158
525,JBLU,7.655,0.022416,0.000233
526,MCBK,30.5,0.011608,0.000206
527,SSYS,12.69,0.028937,0.000557
528,DTEGY,20.120001,0.015068,0.000107
529,RGEN,169.080002,0.039689,0.000943
530,FSM,3.7494,0.031366,0.000583
531,CCE,810.840027,0.014105,-0.001049
532,NDLS,5.42,0.026816,-1.3e-05
533,PRU,99.93,0.021274,0.000265
534,MNST,100.480003,0.056247,0.001707
535,HL,5.495,0.029924,0.000391
536,STBZ,21.59,0.011648,0.000164
537,AEZS,3.88,0.051251,0.000376
538,HLT,138.5,0.018701,0.000302
539,SAHN,2.0,0.099381,0.001559
540,NWPX,35.525799,0.022535,0.000347
541,MRTN,20.58,0.025032,0.00051
542,CTQ,25.42,0.005062,1.9e-05
543,NNGPF,43.07,0.013678,0.000207
544,TYG,32.650002,0.01956,7.3e-05
545,ELROF,6.53,0.016311,-0.00015
546,ZTS,153.625,0.01955,0.000351
547,WSCI,6.99,0.038492,0.00079
548,INFY,18.4,0.020765,0.000504
549,HRTG,1.505,0.020599,-0.000261
550,FOSL,4.495,0.029044,0.000489
551,GOOG,92.474998,0.029929,0.000644
552,KO,63.275002,0.010063,0.000212
553,TRI,115.644997,0.014435,0.000168
554,TRVN,2.155,0.042944,-6.6e-05
555,CLW,38.900002,0.023613,0.000455
556,ATW,470.0,0.009751,0.00011
557,ELP,6.785,0.022705,0.000279
558,MMM,124.665001,0.010163,0.00016
559,EWBC,66.410004,0.026018,0.000448
560,NCZ,3.105,0.014328,-5.9e-05
561,HDNG,18.5,0.024142,0.000321
562,TCPC,12.67,0.017459,0.000131
563,BNDSY,1.73,0.028396,0.000188
564,KLMR,2.0,0.124472,0.005987
565,MBLY,34.200001,0.031351,0.003432
566,GTLS,118.690002,0.025871,0.000585
567,DMRC,22.370001,0.029316,0.000325
568,LWAY,6.74,0.040842,0.000992
569,SRPT,122.18,0.040843,0.000916
570,TRIP,18.445,0.02255,0.000182
571,WAL,61.240002,0.023484,0.000374
572,ALTR,48.119999,0.019784,0.000598
573,SANW,1.21,0.028482,0.000201
574,SBSI,35.099998,0.016733,0.000283
575,RIOCF,15.209,0.014424,8.9e-05
576,CENX,7.895,0.034189,0.000547
577,TMIX,0.88,0.145863,0.009517
578,LION,10.15,0.001702,4.9e-05
579,MGF,3.3516,0.008406,-2.6e-05
580,PDM,9.17,0.011883,-3e-06
581,IMHDF,7.815,0.012167,-5.1e-05
582,VTN,10.3,0.007069,1e-06
583,ATEN,18.440001,0.022679,0.000324
584,FINL,13.51,0.027552,0.000505
585,SJR,26.73,0.016938,0.000211
586,HAYN,48.68,0.022396,0.000207
587,SCYX,2.18,0.038351,-0.000141
588,SVA,6.47,0.02738,0.000594
589,XONE,49.759998,0.000596,-3.6e-05
590,GLF,28.370001,0.03354,0.001493
591,SPG,116.669998,0.018226,0.000225
592,NIQ,12.57,0.007235,-7e-06
593,EMF,12.335,0.01522,0.000112
594,RGR,58.580002,0.019458,0.0004
595,TWX,98.769997,0.020563,0.000671
596,CUBI,29.84,0.018648,0.00039
597,JOUT,67.660004,0.025344,0.000399
598,TPC,7.58,0.022777,0.000304
599,IRDM,50.990002,0.018617,0.000407
600,CDW,187.190002,0.013289,0.000584
601,AER,59.303001,0.025284,0.000373
602,SPDC,0.02,0.099276,0.004356
603,KPTI,3.9199,0.036639,0.00034
604,CVLY,23.465,0.018502,0.00027
605,SFOSF,3.3475,0.021942,0.000238
606,WPZ,47.369999,0.015789,0.000326
607,BECN,58.23,0.019857,0.000393
608,NVZMY,51.580002,0.015019,0.000248
609,CONN,7.52,0.030964,0.000406
610,OCC,3.7309,0.037982,0.000613
611,XEL,70.5,0.015511,0.000172
612,KMG,76.139999,0.03192,0.000767
613,OXM,102.75,0.018526,0.000396
614,SKT,18.594999,0.015057,0.00019
615,NTGR,20.4,0.019631,0.000248
616,CEE,8.2467,0.014448,5.4e-05
617,CFFN,8.23,0.010748,0.00011
618,HSIC,81.190002,0.025759,0.000404
619,AEM,50.59,0.023891,0.000401
620,GIFI,4.68,0.026289,0.000297
621,MNKD,4.815,0.037953,0.00042
622,RBCN,1.89,0.035177,5.1e-05
623,UNBK,36.5,0.013982,0.000208
624,TCYSF,22.0,0.019125,0.000578
625,TNABF,2.12,0.074268,0.002685
626,AMC,5.85,0.046563,0.000822
627,MHNC,18.309999,0.013825,3.2e-05
628,IPCC,142.800003,0.013493,0.000373
629,UEIC,21.91,0.025599,0.000392
630,PBF,33.57,0.02798,0.000427
631,CCHGY,23.950001,0.014943,9e-05
632,SWRBY,6.24,0.030577,0.000448
633,AGYS,62.279999,0.025613,0.00051
634,EJPRY,9.425,0.014868,6.8e-05
635,CVCO,242.279999,0.020399,0.000539
636,ODP,46.5,0.026551,0.000391
637,ARI,11.53,0.014972,3.7e-05
638,TCBI,58.439999,0.018392,0.000333
639,XIN,4.6493,0.030651,-3e-06
640,HRTX,2.485,0.042635,0.000602
641,BELFB,34.290001,0.02615,0.000442
642,AMD,69.385002,0.032359,0.000573
643,ES,84.489998,0.014018,0.000136
644,TEF,3.58,0.013553,0.000124
645,TGLS,29.68,0.024934,0.000515
646,OLCLY,28.620899,0.014273,0.000388
647,DMB,11.425,0.007838,-2.5e-05
648,ATNM,10.59,0.042737,0.000636
